tmin	tier	text	tmax
771.388874	EU/tone	5535	772.274943
772.274943	IU/tone	51	772.840037
772.274943	EU/tone	51	772.840037
772.274943	word	課	772.840037
776.832962	IU/tone	5121	777.872737
776.832962	word	下午	777.872737
776.832962	EU/tone	5521	777.872737
777.872737	IU/tone	21	778.596058
777.872737	word	有	778.596058
777.872737	EU/tone	21	778.596058
778.596058	word	中文	779.789538
778.596058	IU/tone	5535	779.789538
778.596058	EU/tone	5535	779.789538
779.789538	EU/tone	51	780.327508
779.789538	word	課	780.327508
779.789538	IU/tone	51	780.327508
784.686117	word	晚上	785.951929
784.686117	IU/tone	2151	785.951929
784.686117	EU/tone	2151	785.951929
785.951929	IU/tone	51	786.449212
785.951929	EU/tone	51	786.449212
785.951929	word	要	786.449212
786.449212	EU/tone	5151	787.574881
786.449212	IU/tone	5151	787.574881
786.449212	word	睡*覺*	787.574881
790.167105	word	晚上	791.274691
790.167105	EU/tone	2151	791.274691
790.167105	IU/tone	2151	791.274691
791.274691	EU/tone	51	791.663476
791.274691	word	要	791.663476
791.274691	IU/tone	51	791.663476
791.663476	EU/tone	5151	792.757499
791.663476	IU/tone	5151	792.757499
791.663476	word	睡覺	792.757499
795.339033	IU/tone	51	795.836316
795.339033	word	上	795.836316
795.339033	EU/tone	55	795.836316
795.836316	word	早上	797.052400
795.836316	IU/tone	2151	797.052400
795.836316	EU/tone	2155	797.052400
797.450227	EU/tone	51	798.042446
797.450227	word	要	798.042446
797.450227	IU/tone	51	798.042446
798.524210	EU/tone	2155	799.279177
798.524210	word	早上	799.279177
798.524210	IU/tone	2151	799.279177
801.126699	EU/tone	2151	801.827416
801.126699	word	早上*	801.827416
801.126699	IU/tone	2151	801.827416
801.827416	IU/tone	2151	802.550738
801.827416	word	早上	802.550738
801.827416	EU/tone	2151	802.550738
802.550738	word	有	802.903357
802.550738	EU/tone	21	802.903357
802.550738	IU/tone	21	802.903357
802.903357	EU/tone	5135	804.472060
802.903357	IU/tone	5135	804.472060
802.903357	word	太陽	804.472060
806.579157	word	中午	807.632493
806.579157	EU/tone	5521	807.632493
806.579157	IU/tone	5521	807.632493
807.632493	IU/tone	5551	808.477875
807.632493	EU/tone	5551	808.477875
807.632493	word	吃飯	808.477875
810.085301	IU/tone	5551	810.645875
810.085301	EU/tone	5551	810.645875
810.085301	word	中午	810.645875
810.645875	word	吃飯	811.016577
810.645875	IU/tone	5551	811.016577
810.645875	EU/tone	5551	811.016577
813.780678	word	下午	814.570031
813.780678	IU/tone	5121	814.570031
813.780678	EU/tone	5121	814.570031
814.570031	EU/tone	21	815.037826
814.570031	word	有	815.037826
814.570031	IU/tone	21	815.037826
815.037826	EU/tone	5535	815.730692
815.037826	IU/tone	5535	815.730692
815.037826	word	中*文	815.730692
815.730692	word	課	816.140514
815.730692	IU/tone	51	816.140514
815.730692	EU/tone	51	816.140514
818.442863	word	下午	819.387279
818.442863	IU/tone	5121	819.387279
818.442863	EU/tone	5121	819.387279
819.387279	IU/tone	21	819.846248
819.387279	word	有	819.846248
819.387279	EU/tone	21	819.846248
819.846248	IU/tone	5535	820.746532
819.846248	EU/tone	5535	820.746532
819.846248	word	中文	820.746532
820.746532	IU/tone	51	821.024561
820.746532	EU/tone	51	821.024561
820.746532	word	課	821.024561
823.213406	IU/tone	2151	823.760638
823.213406	EU/tone	2151	823.760638
823.213406	word	晚上	823.760638
823.760638	EU/tone	51	823.928338
823.760638	word	要	823.928338
823.760638	IU/tone	51	823.928338
823.928338	IU/tone	5151	824.863927
823.928338	word	睡覺	824.863927
823.928338	EU/tone	5151	824.863927
829.357086	IU/tone	2151	830.220571
829.357086	EU/tone	2151	830.220571
829.357086	word	晚上	830.220571
830.220571	word	要	830.622712
830.220571	EU/tone	51	830.622712
830.220571	IU/tone	51	830.622712
830.622712	word	睡覺	831.541600
830.622712	IU/tone	5151	831.541600
830.622712	EU/tone	5151	831.541600
839.304306	word	太陽	841.430628
839.304306	IU/tone	5135	841.430628
839.304306	EU/tone	5535	841.430628
844.125845	IU/tone	2151	845.298224
844.125845	EU/tone	2151	845.298224
844.125845	word	早上	845.298224
845.298224	EU/tone	21	845.805927
845.298224	IU/tone	21	845.805927
845.298224	word	有	845.805927
845.805927	EU/tone	5535	847.203368
845.805927	IU/tone	5135	847.203368
845.805927	word	太陽	847.203368
849.344679	EU/tone	5521	850.164042
849.344679	word	中午	850.164042
849.344679	IU/tone	5521	850.164042
850.164042	EU/tone	5551	850.842656
850.164042	word	吃飯	850.842656
850.164042	IU/tone	5551	850.842656
853.750957	word	中午	854.776418
853.750957	EU/tone	5521	854.776418
853.750957	IU/tone	5521	854.776418
854.776418	IU/tone	5551	855.681236
854.776418	EU/tone	5551	855.681236
854.776418	word	吃飯	855.681236
857.532095	EU/tone	3521	858.276056
857.532095	IU/tone	5521	858.276056
857.532095	word	中午	858.276056
858.276056	IU/tone	5551	859.547828
858.276056	word	吃飯	859.547828
858.276056	EU/tone	5551	859.547828
867.077036	EU/tone	35211	867.690145
867.077036	IU/tone	5121	867.690145
867.077036	word	下午	867.690145
867.690145	word	有	868.192978
867.690145	EU/tone	21	868.192978
867.690145	IU/tone	21	868.192978
871.614000	word	中文*	872.169605
871.614000	IU/tone	5535	872.169605
871.614000	EU/tone	5535	872.169605
872.169605	EU/tone	51	872.708458
872.169605	IU/tone	51	872.708458
872.169605	word	課	872.708458
875.492112	IU/tone	5121	876.681497
875.492112	EU/tone	3521	876.681497
875.492112	word	下午	876.681497
876.681497	IU/tone	21	877.091919
876.681497	EU/tone	21	877.091919
876.681497	word	有	877.091919
877.091919	word	中文	877.999314
877.091919	EU/tone	5535	877.999314
877.091919	IU/tone	5535	877.999314
880.577990	word	我?	881.672448
880.577990	EU/tone	21	881.672448
880.577990	IU/tone	21	881.672448
883.328654	word	要	883.817251
883.328654	EU/tone	51	883.817251
883.328654	IU/tone	51	883.817251
883.817251	word	睡覺	884.487327
883.817251	IU/tone	5151	884.487327
883.817251	EU/tone	5151	884.487327
884.737386	word	晚上	885.803924
884.737386	IU/tone	2151	885.803924
884.737386	EU/tone	2151	885.803924
885.803924	IU/tone	51	886.317649
885.803924	word	要	886.317649
885.803924	EU/tone	51	886.317649
886.317649	IU/tone	5151	887.177580
886.317649	word	睡覺	887.177580
886.317649	EU/tone	5151	887.177580
889.382290	EU/tone	2155	890.552132
889.382290	word	晚上*	890.552132
889.382290	IU/tone	2151	890.552132
910.211610	word	一	910.465681
910.211610	EU/tone	51	910.465681
910.211610	IU/tone	51	910.465681
927.764621	EU/tone	2151	930.066388
927.764621	IU/tone	2151	930.066388
927.764621	word	晚上	930.066388
965.037951	IU/tone	5155	966.198012
965.037951	word	一天	966.198012
965.037951	EU/tone	5155	966.198012
967.284652	IU/tone	5155	968.312554
967.284652	word	一天	968.312554
967.284652	EU/tone	5155	968.312554
969.263516	EU/tone	2151	970.225339
969.263516	IU/tone	2151	970.225339
969.263516	word	早上	970.225339
971.021964	EU/tone	2151	971.917707
971.021964	word	早上	971.917707
971.021964	IU/tone	2151	971.917707
972.872327	word	中午	973.738702
972.872327	EU/tone	5521	973.738702
972.872327	IU/tone	5521	973.738702
974.620504	IU/tone	5521	975.560300
974.620504	EU/tone	5521	975.560300
974.620504	word	中午	975.560300
976.548148	word	下午	977.587064
976.548148	EU/tone	5521	977.587064
976.548148	IU/tone	5121	977.587064
978.650291	EU/tone	5121	979.432231
978.650291	word	下午	979.432231
978.650291	IU/tone	5121	979.432231
980.611389	EU/tone	2151	981.720055
980.611389	word	晚上	981.720055
980.611389	IU/tone	2151	981.720055
982.568619	IU/tone	2151	983.556140
982.568619	word	晚上	983.556140
982.568619	EU/tone	2151	983.556140
985.654809	EU/tone	2135	986.668028
985.654809	IU/tone	2135	986.668028
985.654809	word	起床*	986.668028
987.991703	word	起床	988.960868
987.991703	IU/tone	2135	988.960868
987.991703	EU/tone	2135	988.960868
996.076862	IU/tone	2151	996.924881
996.076862	word	晚上*	996.924881
